m_val,a_val,dC_dr
18.6216,11.1111,0.00526401
20.3883,11.1111,0.00564646
22.253,11.1111,0.00604524
24.2186,11.1111,0.00646103
26.2875,11.1111,0.00689452
28.4626,11.1111,0.00734637
30.7464,11.1111,0.00781724
33.1415,11.1111,0.00830779
35.6507,11.1111,0.00881867
38.2766,11.1111,0.00935055
41.0218,11.1111,0.00990405
43.889,11.1111,0.0104798
46.8809,11.1111,0.0110785
50,11.1111,0.0117008
-2,12.8863,0
-1.99956,12.8863,0
-1.99646,12.8863,0
-1.98807,12.8863,0
-1.97171,12.8863,-0.0110768
-1.94475,12.8863,-0.0104218
-1.90453,12.8863,-0.00705827
-1.8484,12.8863,-0.00612341
-1.7737,12.8863,-0.00471434
-1.67779,12.8863,-0.00384745
-1.55801,12.8863,-0.00308077
-1.41171,12.8863,-0.00245732
-1.23624,12.8863,-0.00170272
-1.02894,12.8863,-0.0013036
-0.787172,12.8863,-0.000949882
-0.508275,12.8863,-0.000630029
-0.189598,12.8863,-0.000335464
0.17151,12.8863,-5.96362e-05
0.577701,12.8863,0.00020245
1.03163,12.8863,0.000454642
1.53594,12.8863,0.000700368
2.09329,12.8863,0.000942506
2.70634,12.8863,0.00118348
3.37773,12.8863,0.00142537
4.11011,12.8863,0.00166996
4.90614,12.8863,0.00191883
5.76846,12.8863,0.00217339
6.69974,12.8863,0.00243488
7.70262,12.8863,0.00270445
8.77976,12.8863,0.00298314
9.9338,12.8863,0.00327191
11.1674,12.8863,0.00357168
12.4832,12.8863,0.00388329
13.8839,12.8863,0.00420757
15.3721,12.8863,0.00454528
16.9504,12.8863,0.00489718
18.6216,12.8863,0.00526401
20.3883,12.8863,0.00564646
22.253,12.8863,0.00604524
24.2186,12.8863,0.00646103
26.2875,12.8863,0.00689452
28.4626,12.8863,0.00734637
30.7464,12.8863,0.00781724
33.1415,12.8863,0.00830779
35.6507,12.8863,0.00881867
38.2766,12.8863,0.00935055
41.0218,12.8863,0.00990405
43.889,12.8863,0.0104798
46.8809,12.8863,0.0110785
50,12.8863,0.0117008
-2,14.7929,0
-1.99956,14.7929,0
-1.99646,14.7929,0
-1.98807,14.7929,0
-1.97171,14.7929,-0.0110768
-1.94475,14.7929,-0.0104218
