m_val,a_val,dC_dr
41.0218,12.8863,0.00976154
43.889,12.8863,0.0103365
46.8809,12.8863,0.0109345
50,12.8863,0.0115561
-2,14.7929,0
-1.99956,14.7929,0
-1.99646,14.7929,0
-1.98807,14.7929,0
-1.97171,14.7929,-0.0112758
-1.94475,14.7929,-0.0101753
-1.90453,14.7929,-0.00709589
-1.8484,14.7929,-0.00595555
-1.7737,14.7929,-0.00464965
-1.67779,14.7929,-0.00375787
-1.55801,14.7929,-0.00260893
-1.41171,14.7929,-0.00209921
-1.23624,14.7929,-0.0016585
-1.02894,14.7929,-0.00127707
-0.787172,14.7929,-0.000939302
-0.508275,14.7929,-0.000633428
-0.189598,14.7929,-0.000351971
0.17151,14.7929,-8.85581e-05
0.577701,14.7929,0.000161973
1.03163,14.7929,0.000403755
1.53594,14.7929,0.000640146
2.09329,14.7929,0.000873922
2.70634,14.7929,0.00110741
3.37773,14.7929,0.0013426
4.11011,14.7929,0.0015812
4.90614,14.7929,0.0018247
5.76846,14.7929,0.00207443
6.69974,14.7929,0.00233158
7.70262,14.7929,0.00259722
8.77976,14.7929,0.00287235
9.9338,14.7929,0.00315788
11.1674,14.7929,0.00345468
12.4832,14.7929,0.00376357
13.8839,14.7929,0.00408533
15.3721,14.7929,0.00442071
16.9504,14.7929,0.00477046
18.6216,14.7929,0.00513527
20.3883,14.7929,0.00551584
22.253,14.7929,0.00591288
24.2186,14.7929,0.00632704
26.2875,14.7929,0.00675901
28.4626,14.7929,0.00720944
30.7464,14.7929,0.007679
33.1415,14.7929,0.00816833
35.6507,14.7929,0.00867811
38.2766,14.7929,0.00920896
41.0218,14.7929,0.00976154
43.889,14.7929,0.0103365
46.8809,14.7929,0.0109345
50,14.7929,0.0115561
-2,16.831,0
-1.99956,16.831,0
-1.99646,16.831,0
-1.98807,16.831,0
-1.97171,16.831,-0.0112758
-1.94475,16.831,-0.0101753
-1.90453,16.831,-0.00709589
-1.8484,16.831,-0.00595555
-1.7737,16.831,-0.00464965
-1.67779,16.831,-0.00375787
-1.55801,16.831,-0.00260893
-1.41171,16.831,-0.00209921
-1.23624,16.831,-0.0016585
-1.02894,16.831,-0.00127707
-0.787172,16.831,-0.000939302
-0.508275,16.831,-0.000633428
-0.189598,16.831,-0.000351971
0.17151,16.831,-8.85581e-05
0.577701,16.831,0.000161973
1.03163,16.831,0.000403755
1.53594,16.831,0.000640146
2.09329,16.831,0.000873922
2.70634,16.831,0.00110741
3.37773,16.831,0.0013426
4.11011,16.831,0.0015812
4.90614,16.831,0.0018247
5.76846,16.831,0.00207443
6.69974,16.831,0.00233158
7.70262,16.831,0.00259722
8.77976,16.831,0.00287235
9.9338,16.831,0.00315788
11.1674,16.831,0.00345468
12.4832,16.831,0.00376357
13.8839,16.831,0.00408533
15.3721,16.831,0.00442071
16.9504,16.831,0.00477046
18.6216,16.831,0.00513527
20.3883,16.831,0.00551584
22.253,16.831,0.00591288
24.2186,16.831,0.00632704
26.2875,16.831,0.00675901
28.4626,16.831,0.00720944
30.7464,16.831,0.007679
33.1415,16.831,0.00816833
35.6507,16.831,0.00867811
38.2766,16.831,0.00920896
41.0218,16.831,0.00976154
43.889,16.831,0.0103365
46.8809,16.831,0.0109345
50,16.831,0.0115561
-2,19.0007,0
-1.99956,19.0007,0
-1.99646,19.0007,0
-1.98807,19.0007,0
-1.97171,19.0007,-0.0112758
-1.94475,19.0007,-0.0101753
-1.90453,19.0007,-0.00709589
-1.8484,19.0007,-0.00595555
-1.7737,19.0007,-0.00464965
-1.67779,19.0007,-0.00375787
-1.55801,19.0007,-0.00260893
-1.41171,19.0007,-0.00209921
-1.23624,19.0007,-0.0016585
-1.02894,19.0007,-0.00127707
-0.787172,19.0007,-0.000939302
-0.508275,19.0007,-0.000633428
-0.189598,19.0007,-0.000351971
0.17151,19.0007,-8.85581e-05
0.577701,19.0007,0.000161973
1.03163,19.0007,0.000403755
